actor_name
黄磊
黄浩咏 
孙阳 
单承矩 
谢承颖
李佳桐
姚安濂
杨壹童
蒋雪鸣
宋洋
吴昕
谢海东 
周帅
徐娇
刘昊然
陈彦妃
张瑞涵
迟嘉
方家翊
蔡鹭
赵又廷
戚薇
马千壹
恬妞
钱泳辰
许薇
萧敬腾
胡冰卿
张钧甯
隋咏良
应采儿
郭林
瞿澳晖
梁静
金士杰
徐开骋
洪晨颖
卢茜
修杰楷
张雯
于小惠
江奇霖
魏千翔
张卫 
杨谨华
唐嘉群 
冯若绮 
叶青
张国柱
任贤齐
贾景晖
建泽正 
海清
李洺中
朱颜曼滋
曾佩瑜
邹承恩
施诗
马苏
陈意涵
白恩
何炅
王迅
阚清子
老坛酸菜面
老坛酸菜
不看
泡面
演技差
不喜欢
去死
没看
吓尿
汉化
看不下去
手贱
尴尬
五星
四星
三星
两星
一星
零星
5星
4星
3星
2星
1星
0星
广告植入
植入
负分
翻拍
槽点
中国版
日版
日本版
统一方便面
统一老坛酸菜面
做死
圈钱
黄老师
